ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5
0,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,1,2067541.1835265895,2072353.329334133,2094140.7718456308,2080438.4492406077,2048581.167532987
1,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,2,3531896.8206358724,3490266.093562575,3346944.211157768,3389654.538184726,3508590.281943611
2,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,4,6320202.119152339,6911773.090763695,6876016.996600679,6712511.795281888,6861535.492901419
3,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,8,13986197.520991605,13134322.206675993,13148743.702518992,14702626.949220313,13672429.742154706
4,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,16,27682191.08534879,26920574.255446732,25794132.094324544,27231046.97181691,32096753.94763142
5,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,32,43056348.18218138,37502825.77422577,35535107.07151418,38259116.06072713,43587794.8051948
6,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,1,1571027.5944811036,1530788.2423515297,1536529.2941411717,1619986.402719456,1560167.2661870506
7,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,2,3011553.4893021393,3286569.686062787,2933036.385445822,3308391.3217356526,2629413.9172165566
8,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,4,5154351.448551449,4514546.490701859,6647355.5288942205,4891532.586965214,5583420.715856829
9,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,8,12437835.065973612,13048477.322677324,12136143.94242303,12408218.468918648,11553934.226309476
10,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,16,25567755.546671998,25936940.847322144,26838709.60655083,27986123.525884468,28889383.969618227
11,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,32,44370944.266879745,35389288.71128871,51091419.18081918,49514972.06146478,52434159.44055944
12,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,1,1962064.5870825835,1864483.303339332,1905205.3589282143,1900846.230753849,1927607.9136690649
13,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,2,2658163.1673665266,2382690.061987602,2260382.5234953007,2561383.6465413836,2332553.4893021393
14,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,4,4367970.22977023,4438557.888422315,4377852.229554089,4599194.361127774,4490933.413317336
15,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,8,8675334.266293483,8556903.896103896,8086339.464214315,8508110.533679793,8358118.752499001
16,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,16,18414899.460323807,16986751.194267515,16849183.379944067,19057791.125324804,17883927.243653808
17,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,32,33220765.081901718,32381512.68731269,29317336.39632441,33281940.50708724,31700834.59848182
18,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,1,2120065.573770492,2039113.377324535,2114647.6704659066,2075333.4666133549,2023446.9485440764
19,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,2,2864679.7281087567,2732340.731853629,2902009.7960815676,2846058.3766493406,2977538.4923015395
20,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,4,5149520.375549341,5325059.388122375,5207522.391043583,5340588.282343531,5463184.12634946
21,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,8,9869127.74890044,9534485.514485514,9564724.31027589,9695684.726109557,9697177.928828469
22,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,16,17815084.74915051,19070819.344524384,18979364.28999401,18509683.602311216,18980918.864908077
23,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,32,34936287.85457451,37226205.3946054,34616480.91908092,15866147.933719303,35696968.637634836
24,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,1,7805189.362127574,8072806.038792241,8011391.921615676,7499860.6557377055,7895749.000799362
25,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,2,16042961.215513796,17132248.950209957,14685972.605478903,16878703.718512595,12537364.127174564
26,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,4,24877545.163868908,32073860.227954406,30246568.172730908,30942191.523390643,31398781.287485007
27,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,8,61502223.51059576,53158462.96662059,62800323.27069172,53473074.3702519,57743674.53018793
28,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,16,81185294.70529471,82179028.38297021,64873485.27376952,72292011.38406232,71659532.37268062
29,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,32,99619097.28326008,96437002.59688373,84983887.11288711,94170058.70607029,84349903.2967033
30,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,1,9687490.901819635,9945769.446110778,9994047.790441912,9795573.170731708,9841659.140859142
31,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,2,10143579.28414317,9181502.099580083,10198049.190161968,11174312.87485006,9359571.48570286
32,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,4,23915442.15784216,23272440.023990404,20302187.32506997,20808462.30753849,23129037.88634098
33,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,8,40667457.41703319,39657605.93980466,43787467.26368159,38641873.650539786,48753784.722222224
34,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,16,64025578.452928245,64856836.29822107,65674620.374054916,63163458.125124924,68283520.2878273
35,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,32,74326365.72226657,75056232.16783217,69009563.32401118,72119167.73162939,78535155.21374351
36,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,1,8210092.981403719,8304526.094781043,8550641.27174565,8351817.273090764,8296753.996802559
37,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,2,7800152.93882447,5687312.337532493,7688328.334333133,7986436.025589764,8055210.957808438
38,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,4,14523654.345654346,21173911.63534586,15688893.24270292,13293873.225354929,13284045.190961806
39,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,8,26131377.848860458,25944436.363636363,27286793.68252699,28040411.03558577,27162091.763294682
40,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,16,50828150.70957425,49615895.06296222,49657962.24530563,49653598.24105536,46737954.22746352
41,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,32,52557788.45385537,47210937.46253746,45279985.61725929,51951000.39936102,51781294.04714342
42,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,1,2449.3304017589444,2623.226064361383,2652.225993212218,2608.156737305078,2608.956417433027
43,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,2,1170.8633093525182,1194.366759888134,1160.3358656537387,1241.806554756195,1235.458724765141
44,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,4,1999.2009588493806,1999.4004796163072,2098.121502797762,2148.7107735358786,1960.0559217096068
45,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,8,3511.3908872901684,3537.370103916867,3512.3900879296566,3711.0623003194887,3525.5795363709035
46,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,16,6140.05994005994,6259.94005994006,6439.8961661341855,6327.40711146624,6458.341658341658
47,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,32,12486.319153185541,13485.531829974057,12282.404633513082,13036.149390852806,11568.303837741101
48,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,1,2867.9848212502498,2896.4414234306278,3011.7929242454525,3042.374575254847,2996.803835397523
49,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,2,5667.133146741304,5727.908836465414,5772.936238257045,5973.631642029564,5909.0545672596445
50,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,4,11579.852088746751,11731.76094343394,11264.482620854973,11147.711373176095,11761.94283429942
51,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,8,22910.071942446044,22743.21086261981,23154.876099120705,23002.99820107935,22673.595842494502
52,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,16,43948.08306709265,43806.354916067154,44772.82717282717,43719.48051948052,43671.52555910543
53,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,32,82061.51388056722,81247.8530057919,82756.09268877347,81973.65269461078,82197.523467146
54,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,1,3077.953228063162,3040.583766493403,3049.1508491508494,2872.6763941635018,3113.954418232707
55,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,2,5934.839096542075,5611.066719936077,5944.0223910435825,5867.053178728509,5890.043982407037
56,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,4,11682.18138234119,11511.892864281432,11602.03877673396,11745.152908255046,11079.70435477427
57,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,8,23070.55766540076,23215.2708374975,22954.227463521886,22889.954064309968,22602.838297021786
58,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,16,44044.76418864908,43269.78417266187,44170.36149390853,43543.856143856145,44279.17665867307
59,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,32,82336.3963244107,82714.82737976451,84085.6800479329,84022.56840423407,81581.50219736317
60,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,1,1538275.579536371,1547647.4705058988,1523775.6448710256,1587088.5822835432,1536231.5536892621
61,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,2,2974439.424230308,3301640.7592407595,3274625.4749050187,3329348.06077569,3205358.2566973213
62,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,4,6335606.3574570175,6322155.168966207,6361393.406593407,6328510.297940412,6077255.548890222
63,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,8,14229944.822071172,12355080.567772891,12534720.31187525,12256423.976023976,12861707.916833267
64,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,16,8064125.924445333,24882991.405156907,27072017.789326403,23432561.463122126,10933837.594886135
65,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,32,19590556.48702595,11745280.239520958,39925396.01196411,33918640.91816367,40776773.65269461
66,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,1,1374925.2747252746,1358985.802839432,1426561.2877424513,1357796.4407118575,1428417.6329468214
67,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,2,2303818.0555555555,2051319.0809190809,2407087.182563487,2468526.4947010595,2410342.3315336932
68,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,4,4364356.657337066,3764020.1959608076,4178006.1950439652,4498173.965206958,3968423.3153369324
69,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,8,6971627.7489004405,8025986.405437825,8613150.139944023,8715267.532467533,8436344.862055179
70,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,16,15086814.311413152,15132906.656006396,14760749.75014991,16156752.148710772,15901770.67518977
71,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,32,30095152.555910543,28278664.602477025,30276287.312687315,29816597.202797204,31511261.78115016
